doc_id,filename,hand_id,status,batch,source,note
486,486_AM Lille_PAT-118_2156_2.jpeg,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
487,487_AM Lille_PAT_6-66_1.jpg,KA_2,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
543,543_AM Lille_PAT-6-67.jpg,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
656,656_RAGent_GW2_684_1.jpg,KA_12,tentative,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)","folder KA12(?): mogelijk eenzelfde hand (12e kanselarijhand?), nog niet paleografisch bevestigd"
660,660_RA Bergen AEM.08.001_58_1.jpg,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
661,661_RA Bergen AEM.08.001_56_1.jpg,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
662,662_RA Bergen AEM.08.001_52_1.jpg,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
663,663_RA Bergen AEM.08.001_53_1.jpg,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
664,664_RA Bergen AEM.08.001_38_1.jpg,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
665,665_1_RABergen_ AEM.08.001_27.jpg,,unidentified,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
667,667_SAGent_Bijloke_E40 (1).JPG,KA_1,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
668,668_SAGent_Bijloke_E41 (1).JPG,KA_1,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
669,669_SAGent_Bijloke_F17 (1).JPG,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
670,670_SAGent_Bijloke_F26 (1).JPG,KA_9,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
671,671_SAGent_Bijloke_F29 (1).JPG,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
672,672_SAGent_Bijloke_F33 (1).JPG,KA_10,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
673,673_SAGent_Bijloke_F34 (1).JPG,KA_10,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
674,674_SAGent_Bijloke_F35 (1).JPG,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
675,675_SAGent_Bijloke_F38 (1).JPG,KA_11,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
