doc_id,n_files,n_filenames,n_scans,keep_filename,drop_filenames,hands,repository,shelfmark,main_relative_path
486,1,1,1,486_AM Lille_PAT-118_2156_2.jpeg,,KA_8,AM Lille,PAT-118_2156_2,hand/KA_8/486_AM Lille_PAT-118_2156_2.jpeg
487,1,1,1,487_AM Lille_PAT_6-66_1.jpg,,KA_2,AM Lille,PAT_6-66_1,hand/KA_2/487_AM Lille_PAT_6-66_1.jpg
543,1,1,1,543_AM Lille_PAT-6-67.jpg,,KA_8,AM Lille,PAT-6-67,hand/KA_8/543_AM Lille_PAT-6-67.jpg
656,1,1,1,656_RAGent_GW2_684_1.jpg,,KA_12,RA Gent,GW2_684_1,hand/KA_12/656_RAGent_GW2_684_1.jpg
660,1,1,1,660_RA Bergen AEM.08.001_58_1.jpg,,KA_8,RA Bergen,AEM.08.001_58_1,hand/KA_8/660_RA Bergen AEM.08.001_58_1.jpg
661,1,1,1,661_RA Bergen AEM.08.001_56_1.jpg,,KA_8,RA Bergen,AEM.08.001_56_1,hand/KA_8/661_RA Bergen AEM.08.001_56_1.jpg
662,1,1,1,662_RA Bergen AEM.08.001_52_1.jpg,,KA_8,RA Bergen,AEM.08.001_52_1,hand/KA_8/662_RA Bergen AEM.08.001_52_1.jpg
663,1,1,1,663_RA Bergen AEM.08.001_53_1.jpg,,KA_8,RA Bergen,AEM.08.001_53_1,hand/KA_8/663_RA Bergen AEM.08.001_53_1.jpg
664,1,1,1,664_RA Bergen AEM.08.001_38_1.jpg,,KA_8,RA Bergen,AEM.08.001_38_1,hand/KA_8/664_RA Bergen AEM.08.001_38_1.jpg
665,1,1,1,665_1_RABergen_ AEM.08.001_27.jpg,,,RABergen_ AEM.,08.001_27,unattributed/665_1_RABergen_ AEM.08.001_27.jpg
667,1,1,1,667_SAGent_Bijloke_E40 (1).JPG,,KA_1,SA Gent,Bijloke_E40,hand/KA_1/667_SAGent_Bijloke_E40 (1).JPG
