filename,hand_id
486_AM Lille_PAT-118_2156_2.jpeg,KA_8
487_AM Lille_PAT_6-66_1.jpg,KA_2
543_AM Lille_PAT-6-67.jpg,KA_8
656_RAGent_GW2_684_1.jpg,KA_12
660_RA Bergen AEM.08.001_58_1.jpg,KA_8
661_RA Bergen AEM.08.001_56_1.jpg,KA_8
662_RA Bergen AEM.08.001_52_1.jpg,KA_8
663_RA Bergen AEM.08.001_53_1.jpg,KA_8
664_RA Bergen AEM.08.001_38_1.jpg,KA_8
667_SAGent_Bijloke_E40 (1).JPG,KA_1
668_SAGent_Bijloke_E41 (1).JPG,KA_1
669_SAGent_Bijloke_F17 (1).JPG,KA_8
670_SAGent_Bijloke_F26 (1).JPG,KA_9
671_SAGent_Bijloke_F29 (1).JPG,KA_8
672_SAGent_Bijloke_F33 (1).JPG,KA_10
673_SAGent_Bijloke_F34 (1).JPG,KA_10
674_SAGent_Bijloke_F35 (1).JPG,KA_8
675_SAGent_Bijloke_F38 (1).JPG,KA_11
701_AM Lille_PAT-120-2192_1.jpg,KA_8
702_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_69_1.jpeg,KA_8
703_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_70_1.jpeg,KA_8
707_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_75_2.jpeg,KA_8
708_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_86_2.jpeg,KA_8
709_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_88_1.jpeg,KA_12
710_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_81_2.jpeg,KA_8
712_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_92_2.jpeg,KA_8
