relative_path,filename,folder,hand_id,doc_id,scan_index,scan_explicit,repository,shelfmark,note,main_document,reason,parse_ok,collision_key
hand/KA_1/667_SAGent_Bijloke_E40 (1).JPG,667_SAGent_Bijloke_E40 (1).JPG,hand/KA_1,KA_1,667,1,0,SA Gent,Bijloke_E40,1,1,,1,sa gent|bijloke e40
hand/KA_1/668_SAGent_Bijloke_E41 (1).JPG,668_SAGent_Bijloke_E41 (1).JPG,hand/KA_1,KA_1,668,1,0,SA Gent,Bijloke_E41,1,1,,1,sa gent|bijloke e41
hand/KA_10/672_SAGent_Bijloke_F33 (1).JPG,672_SAGent_Bijloke_F33 (1).JPG,hand/KA_10,KA_10,672,1,0,SA Gent,Bijloke_F33,1,1,,1,sa gent|bijloke f33
hand/KA_10/673_SAGent_Bijloke_F34 (1).JPG,673_SAGent_Bijloke_F34 (1).JPG,hand/KA_10,KA_10,673,1,0,SA Gent,Bijloke_F34,1,1,,1,sa gent|bijloke f34
hand/KA_11/675_SAGent_Bijloke_F38 (1).JPG,675_SAGent_Bijloke_F38 (1).JPG,hand/KA_11,KA_11,675,1,0,SA Gent,Bijloke_F38,1,1,,1,sa gent|bijloke f38
hand/KA_12/656_RAGent_GW2_684_1.jpg,656_RAGent_GW2_684_1.jpg,hand/KA_12,KA_12,656,1,0,RA Gent,GW2_684_1,,1,,1,ra gent|gw2 684 1
hand/KA_12/709_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_88_1.jpeg,709_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_88_1.jpeg,hand/KA_12,KA_12,709,1,0,ADN Lille,Archives hospitalières_Hôpital Comtesse_Titres isolés_88_1,,1,,1,adn lille|archives hospitalières hôpital comtesse titres isolés 88 1
hand/KA_2/487_AM Lille_PAT_6-66_1.jpg,487_AM Lille_PAT_6-66_1.jpg,hand/KA_2,KA_2,487,1,0,AM Lille,PAT_6-66_1,,1,,1,am lille|pat 6-66 1
hand/KA_8/486_AM Lille_PAT-118_2156_2.jpeg,486_AM Lille_PAT-118_2156_2.jpeg,hand/KA_8,KA_8,486,1,0,AM Lille,PAT-118_2156_2,,1,,1,am lille|pat-118 2156 2
hand/KA_8/543_AM Lille_PAT-6-67.jpg,543_AM Lille_PAT-6-67.jpg,hand/KA_8,KA_8,543,1,0,AM Lille,PAT-6-67,,1,,1,am lille|pat-6-67
hand/KA_8/660_RA Bergen AEM.08.001_58_1.jpg,660_RA Bergen AEM.08.001_58_1.jpg,hand/KA_8,KA_8,660,1,0,RA Bergen,AEM.08.001_58_1,,1,,1,ra bergen|aem 08 001 58 1
hand/KA_8/661_RA Bergen AEM.08.001_56_1.jpg,661_RA Bergen AEM.08.001_56_1.jpg,hand/KA_8,KA_8,661,1,0,RA Bergen,AEM.08.001_56_1,,1,,1,ra bergen|aem 08 001 56 1
hand/KA_8/662_RA Bergen AEM.08.001_52_1.jpg,662_RA Bergen AEM.08.001_52_1.jpg,hand/KA_8,KA_8,662,1,0,RA Bergen,AEM.08.001_52_1,,1,,1,ra bergen|aem 08 001 52 1
hand/KA_8/663_RA Bergen AEM.08.001_53_1.jpg,663_RA Bergen AEM.08.001_53_1.jpg,hand/KA_8,KA_8,663,1,0,RA Bergen,AEM.08.001_53_1,,1,,1,ra bergen|aem 08 001 53 1
hand/KA_8/664_RA Bergen AEM.08.001_38_1.jpg,664_RA Bergen AEM.08.001_38_1.jpg,hand/KA_8,KA_8,664,1,0,RA Bergen,AEM.08.001_38_1,,1,,1,ra bergen|aem 08 001 38 1
hand/KA_8/669_SAGent_Bijloke_F17 (1).JPG,669_SAGent_Bijloke_F17 (1).JPG,hand/KA_8,KA_8,669,1,0,SA Gent,Bijloke_F17,1,1,,1,sa gent|bijloke f17
hand/KA_8/671_SAGent_Bijloke_F29 (1).JPG,671_SAGent_Bijloke_F29 (1).JPG,hand/KA_8,KA_8,671,1,0,SA Gent,Bijloke_F29,1,1,,1,sa gent|bijloke f29
hand/KA_8/674_SAGent_Bijloke_F35 (1).JPG,674_SAGent_Bijloke_F35 (1).JPG,hand/KA_8,KA_8,674,1,0,SA Gent,Bijloke_F35,1,1,,1,sa gent|bijloke f35
hand/KA_8/701_AM Lille_PAT-120-2192_1.jpg,701_AM Lille_PAT-120-2192_1.jpg,hand/KA_8,KA_8,701,1,0,AM Lille,PAT-120-2192_1,,1,,1,am lille|pat-120-2192 1
hand/KA_8/702_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_69_1.jpeg,702_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_69_1.jpeg,hand/KA_8,KA_8,702,1,0,ADN Lille,Archives hospitalières_Hôpital Comtesse_Titres isolés_69_1,,1,,1,adn lille|archives hospitalières hôpital comtesse titres isolés 69 1
hand/KA_8/703_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_70_1.jpeg,703_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_70_1.jpeg,hand/KA_8,KA_8,703,1,0,ADN Lille,Archives hospitalières_Hôpital Comtesse_Titres isolés_70_1,,1,,1,adn lille|archives hospitalières hôpital comtesse titres isolés 70 1
hand/KA_8/707_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_75_2.jpeg,707_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_75_2.jpeg,hand/KA_8,KA_8,707,1,0,ADN Lille,Archives hospitalières_Hôpital Comtesse_Titres isolés_75_2,,1,,1,adn lille|archives hospitalières hôpital comtesse titres isolés 75 2
hand/KA_8/708_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_86_2.jpeg,708_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_86_2.jpeg,hand/KA_8,KA_8,708,1,0,ADN Lille,Archives hospitalières_Hôpital Comtesse_Titres isolés_86_2,,1,,1,adn lille|archives hospitalières hôpital comtesse titres isolés 86 2
hand/KA_8/710_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_81_2.jpeg,710_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_81_2.jpeg,hand/KA_8,KA_8,710,1,0,ADN Lille,Archives hospitalières_Hôpital Comtesse_Titres isolés_81_2,,1,,1,adn lille|archives hospitalières hôpital comtesse titres isolés 81 2
hand/KA_8/712_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_92_2.jpeg,712_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_92_2.jpeg,hand/KA_8,KA_8,712,1,0,ADN Lille,Archives hospitalières_Hôpital Comtesse_Titres isolés_92_2,,1,,1,adn lille|archives hospitalières hôpital comtesse titres isolés 92 2
hand/KA_9/670_SAGent_Bijloke_F26 (1).JPG,670_SAGent_Bijloke_F26 (1).JPG,hand/KA_9,KA_9,670,1,0,SA Gent,Bijloke_F26,1,1,,1,sa gent|bijloke f26
unattributed/665_1_RABergen_ AEM.08.001_27.jpg,665_1_RABergen_ AEM.08.001_27.jpg,unattributed,,665,1,1,RABergen_ AEM.,08.001_27,,1,,1,rabergen aem|08 001 27
unattributed/676_SAGent_Bijloke_F40 (1).JPG,676_SAGent_Bijloke_F40 (1).JPG,unattributed,,676,1,0,SA Gent,Bijloke_F40,1,1,,1,sa gent|bijloke f40
