relative_path,filename,main_document,fell_back,n_regions,x0,y0,x1,y1,width,height
hand/KA_1/667_SAGent_Bijloke_E40 (1).JPG,667_SAGent_Bijloke_E40 (1).JPG,1,0,2,122,406,2875,1729,3000,4000
hand/KA_1/668_SAGent_Bijloke_E41 (1).JPG,668_SAGent_Bijloke_E41 (1).JPG,1,0,2,71,764,2997,3286,3000,4000
hand/KA_10/672_SAGent_Bijloke_F33 (1).JPG,672_SAGent_Bijloke_F33 (1).JPG,1,0,8,133,666,3938,2165,4000,3000
hand/KA_10/673_SAGent_Bijloke_F34 (1).JPG,673_SAGent_Bijloke_F34 (1).JPG,1,0,2,473,93,3698,1505,4000,3000
hand/KA_11/675_SAGent_Bijloke_F38 (1).JPG,675_SAGent_Bijloke_F38 (1).JPG,1,0,2,313,346,3931,2165,4000,3000
hand/KA_12/656_RAGent_GW2_684_1.jpg,656_RAGent_GW2_684_1.jpg,1,0,26,242,1311,3337,2853,3511,5039
hand/KA_12/709_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_88_1.jpeg,709_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_88_1.jpeg,1,0,3,922,556,3715,1452,4032,3024
hand/KA_2/487_AM Lille_PAT_6-66_1.jpg,487_AM Lille_PAT_6-66_1.jpg,1,0,1,308,190,4357,2681,4632,4076
hand/KA_8/486_AM Lille_PAT-118_2156_2.jpeg,486_AM Lille_PAT-118_2156_2.jpeg,1,0,4,255,389,3990,1866,4032,3024
hand/KA_8/543_AM Lille_PAT-6-67.jpg,543_AM Lille_PAT-6-67.jpg,1,0,1,194,261,3036,1685,3222,3797
hand/KA_8/660_RA Bergen AEM.08.001_58_1.jpg,660_RA Bergen AEM.08.001_58_1.jpg,1,0,2,434,400,5747,2192,6251,5145
hand/KA_8/661_RA Bergen AEM.08.001_56_1.jpg,661_RA Bergen AEM.08.001_56_1.jpg,1,0,2,308,382,4321,3087,4557,3310
hand/KA_8/662_RA Bergen AEM.08.001_52_1.jpg,662_RA Bergen AEM.08.001_52_1.jpg,1,0,4,328,529,7404,6220,7824,8215
