doc_id,n_files,n_filenames,n_scans,keep_filename,drop_filenames,hands,repository,shelfmark,main_relative_path
1,1,1,1,1_8_ANParijs_J537_I-5-6 (Groot).jpg,,KA_5,AN Paris,J537_I-5-6,hand/KA_5/1_8_ANParijs_J537_I-5-6 (Groot).jpg
2,1,1,1,2_3_ADN Lille B 444_816.jpeg,,KA_6,ADN Lille,B 444_816,hand/KA_6/2_3_ADN Lille B 444_816.jpeg
3,1,1,1,3_1_ADNLille_B 444_825 (DiBe 22716).JPG,,KA_6,ADN Lille,B 444_825,hand/KA_6/3_1_ADNLille_B 444_825 (DiBe 22716).JPG
6,1,1,1,6_2_RAGent_K95_6.jpeg,,KA_6,RA Gent,K95_6,hand/KA_6/6_2_RAGent_K95_6.jpeg
8,1,1,1,8_1_ADN Lille_B 1016_830 (DiBe 27608).JPG,,KA_2,ADN Lille,B 1016_830,hand/KA_2/8_1_ADN Lille_B 1016_830 (DiBe 27608).JPG
10,1,1,1,10_1_ADN Lille_ B1517_895bis.JPG,,KA_8,ADN Lille,B1517_895bis,hand/KA_8/10_1_ADN Lille_ B1517_895bis.JPG
11,1,1,1,11_2_RAGent K99_578.jpeg,,KA_4,RA Gent,K99_578,hand/KA_4/11_2_RAGent K99_578.jpeg
12,1,1,1,12_2_RAGent_K72_14 (Groot).jpeg,,KA_1,RA Gent,K72_14,hand/KA_1/12_2_RAGent_K72_14 (Groot).jpeg
13,1,1,1,13_1_ANParijs_J538_I-5-9 (Groot).jpg,,KA_9,AN Paris,J538_I-5-9,hand/KA_9/13_1_ANParijs_J538_I-5-9 (Groot).jpg
14,1,1,1,14_4_ANParijs_J 540_I-5-18 (Groot).jpg,,KA_5,AN Paris,J 540_I-5-18,hand/KA_5/14_4_ANParijs_J 540_I-5-18 (Groot).jpg
16,1,1,1,16_2_RAGent_K14_36.jpeg,,KA_7,RA Gent,K14_36,hand/KA_7/16_2_RAGent_K14_36.jpeg
17,1,1,1,17_2_ADNLille_11 G 33_260 (Groot).JPG,,,ADN Lille,11 G 33_260,unattributed/17_2_ADNLille_11 G 33_260 (Groot).JPG
18,1,1,1,18_2_RAGent_K78_293.jpeg,,,RA Gent,K78_293,unattributed/18_2_RAGent_K78_293.jpeg
