filename,doc_id
105_3_RAGent_K16_40 (Groot).JPG,105
106_3_RAGent_K6_3.jpeg,106
107_2_RAGent_K6_6.jpeg,107
108_2_RAGent_K6_7.jpeg,108
10_1_ADN Lille_ B1517_895bis.JPG,10
119_2_RAGent_K32_15.jpeg,119
11_2_RAGent K99_578.jpeg,11
120_2_RAGent_K32_16.jpeg,120
121_2_RAGent_K32_17.jpeg,121
123_1_RAGent K32_19bis (FACSIMILE).jpeg,123
127_2_RAGent_K131_4.jpeg,127
129_2_RAGent_K78_409.jpeg,129
12_2_RAGent_K72_14 (Groot).jpeg,12
131_2_RAGent_K78_402.jpeg,131
134_2_RAGent K21_98.jpeg,134
134_3_RAGent K21_98.jpeg,134
135_2_RAGent K21_107.jpeg,135
136_2_RAGent K21_122.jpeg,136
137_2_RAGent_K21_147.jpeg,137
138_2_RAGent K21_152.jpeg,138
138_3_RAGent K21_152.jpeg,138
139_2_RAGent K21_182.jpeg,139
13_1_ANParijs_J538_I-5-9 (Groot).jpg,13
141_2_RAGent K72_29.jpeg,141
147_2_RAGent K133_80.jpeg,147
148_2_RAGent_K137_49bis.jpeg,148
148_3_RAGent_K137_49bis.jpeg,148
14_4_ANParijs_J 540_I-5-18 (Groot).jpg,14
151_2_RABrugge_INV 120_6738.jpeg,151
151_3_RABrugge_INV 120_6738.jpeg,151
152_4_RABrugge_INV 120_7187 (Groot).JPG,152
153_2_RABrugge_INV 120_7115.jpeg,153
156_2_ADN Lille B 445_1208.jpeg,156
156_5_ADN Lille B 445_1208.jpeg,156
161_2_ADN Lille B 400_1643.jpeg,161
161_4_ADN Lille B 400_1643.jpeg,161
164_2_ADNLille_B 400_1474.jpeg,164
164_3_ADNLille_B 400_1474.jpeg,164
166_2_ADNLille_B 496_1298 .jpeg,166
168_2_ADN Lille B 1162_1409.jpeg,168
168_3_ADN Lille B 1162_1409.jpeg,168
16_2_RAGent_K14_36.jpeg,16
170_2_ADN Lille B 1430_1428.jpeg,170
178_8_ADNLille_B 1528_1294 (Groot).JPG,178
17_2_ADNLille_11 G 33_260 (Groot).JPG,17
180_2_ADN Lille 1G 91_211.jpeg,180
182_1_ADNLille_7 G 8_136 (Groot).JPG,182
183_1_ADNLille_11 G 23_152 (Groot).JPG,183
185_2_ADN Lille 16G 8_91quat.jpeg,185
185_3_ADN Lille 16G 8_91quat.jpeg,185
188_1_AMDouai_AA_48 (Groot).jpg,188
18_2_RAGent_K78_293.jpeg,18
