filename,hand_id
105_3_RAGent_K16_40 (Groot).JPG,KA_10
107_2_RAGent_K6_6.jpeg,KA_8
108_2_RAGent_K6_7.jpeg,KA_10
10_1_ADN Lille_ B1517_895bis.JPG,KA_8
119_2_RAGent_K32_15.jpeg,KA_9
11_2_RAGent K99_578.jpeg,KA_4
120_2_RAGent_K32_16.jpeg,KA_9
121_2_RAGent_K32_17.jpeg,KA_8
123_1_RAGent K32_19bis (FACSIMILE).jpeg,KA_8
127_2_RAGent_K131_4.jpeg,KA_2
129_2_RAGent_K78_409.jpeg,KA_10
12_2_RAGent_K72_14 (Groot).jpeg,KA_1
131_2_RAGent_K78_402.jpeg,KA_8
134_2_RAGent K21_98.jpeg,KA_1
134_3_RAGent K21_98.jpeg,KA_1
135_2_RAGent K21_107.jpeg,KA_1
136_2_RAGent K21_122.jpeg,KA_1
139_2_RAGent K21_182.jpeg,KA_8
13_1_ANParijs_J538_I-5-9 (Groot).jpg,KA_9
141_2_RAGent K72_29.jpeg,KA_10
147_2_RAGent K133_80.jpeg,KA_8
148_2_RAGent_K137_49bis.jpeg,KA_8
148_3_RAGent_K137_49bis.jpeg,KA_8
14_4_ANParijs_J 540_I-5-18 (Groot).jpg,KA_5
151_2_RABrugge_INV 120_6738.jpeg,KA_8
151_3_RABrugge_INV 120_6738.jpeg,KA_8
153_2_RABrugge_INV 120_7115.jpeg,KA_8
156_2_ADN Lille B 445_1208.jpeg,KA_8
156_5_ADN Lille B 445_1208.jpeg,KA_8
161_2_ADN Lille B 400_1643.jpeg,KA_10
161_4_ADN Lille B 400_1643.jpeg,KA_10
164_2_ADNLille_B 400_1474.jpeg,KA_8
164_3_ADNLille_B 400_1474.jpeg,KA_8
166_2_ADNLille_B 496_1298 .jpeg,KA_10
168_2_ADN Lille B 1162_1409.jpeg,KA_8
168_3_ADN Lille B 1162_1409.jpeg,KA_8
16_2_RAGent_K14_36.jpeg,KA_7
178_8_ADNLille_B 1528_1294 (Groot).JPG,KA_8
180_2_ADN Lille 1G 91_211.jpeg,KA_4
188_1_AMDouai_AA_48 (Groot).jpg,KA_8
197_1_ADNLille_16 G 291_2556 (Groot) JPG.JPG,KA_8
1_8_ANParijs_J537_I-5-6 (Groot).jpg,KA_5
202_1_ADN Lille_1H 218_2500 (Groot).JPG,KA_11
206_1_ADN Lille_1H 322_3324 (Groot).JPG,KA_8
208_1_ADN Lille 1H 330_3372.jpeg,KA_8
209_3_ADN Lille 1H 399_3661.jpeg,KA_7
210_1_ADN Lille 1H 400_3667.jpeg,KA_8
21_1_RAGent_K32_14 (Groot).JPG,KA_7
220_2_ADN Lille_4G 708_6984 (Groot).JPG,KA_2
229_2_ADN Lille 10H 210_3434.jpeg,KA_8
229_3_ADN Lille 10H 210_3434.jpeg,KA_8
230_1_ADN Lille_10H 210_3435 (Groot).JPG,KA_8
231_1_ADN Lille 10H 210_3436.jpeg,KA_8
231_3_ADN Lille 10H 210_3436.jpeg,KA_8
241_1_ADN Lille_27H 53_774 .jpeg,KA_8
241_3_ADN Lille_27H 53_774 .jpeg,KA_8
252_1_ADN Lille_30H17_250.JPG,KA_5
253_1_ADN Lille_30H 17_253 (Groot).JPG,KA_7
25_2_RABrugge INV120_7406.jpeg,KA_9
262_1_ADN Lille_30H 31_593 (Groot).JPG,KA_8
264_1_ADN Lille_30H 55_852 (Groot).JPG,KA_8
266_1_ADN Lille_30H 55_855 (Groot).JPG,KA_8
268_1_ADN Lille_30H 57_884 (Groot).JPG,KA_8
26_2_RABrugge INV120_7405.jpeg,KA_8
272_1_ADN Lille_31H 2_14 (Groot).JPG,KA_8
281_3_ADN Lille_31H13_176.jpeg,KA_7
282_1_ADN Lille_31H 13_177.jpeg,KA_7
283_1_ADN Lille_31H 13_178 .JPG,KA_7
284_2_ADN Lille 31H 13_179.jpeg,KA_7
285_2_ADN Lille 31H 13_180.jpeg,KA_7
288_1_ADN Lille 31H 13_188.jpeg,KA_8
289_1_ADN Lille_31H 13_189 (Groot).JPG,KA_7
290_1_ADN Lille 31H 13_190.jpeg,KA_7
291_1_ADN Lille 31H 13_191.jpeg,KA_7
294_3_ADN Lille 31H 14_194.jpeg,KA_9
295_1_ADN Lille_31H14_198 (Groot).JPG,KA_8
296_1_ADN Lille_31H14_199 (Groot).JPG,KA_8
29_3_RABrugge_INV 120_7427.jpeg,KA_8
2_3_ADN Lille B 444_816.jpeg,KA_6
300_2_ADN Lille_31H14_204 (Groot).JPG,KA_8
302_1_ADN Lille_31H 14_211 (Groot).JPG,KA_8
302_2_ADN Lille_31H14_211 (Groot).JPG,KA_8
30_2_RABrugge_INV 120_7435 .jpeg,KA_10
312_1_ADN Lille_31H62_966 (Groot).JPG,KA_8
313_1_ADN Lille_31H63_972 (Groot).JPG,KA_7
315_1_ADN Lille_31H63_975  (Groot).JPG,KA_8
319_1_ADN Lille 31H 75_1334.jpeg,KA_7
320_2_ADN Lille_31H82_1483 (Groot).JPG,KA_10
322_1_ADN Lille_31H87_1585 (Groot).JPG,KA_8
325_2_ADN Lille_32H16_183 (Groot).JPG,KA_8
330_2_ADN Lille_33H3_67 (Groot).JPG,KA_8
331_2_ADN Lille_33H31_486.jpeg,KA_8
331_3_ADN Lille_33H31_486.jpeg,KA_8
336_1_ADN Lille_33H48_735 (Groot).JPG,KA_8
338_2_ADN Lille_33H54_910 .jpeg,KA_8
338_3_ADN Lille_33H54_910 .jpeg,KA_8
342_1_ADN Lille_33H56_997 (Groot).JPG,KA_10
343_1_ADN Lille_33H56_998 (Groot).JPG,KA_8
346_1_ADN Lille 33H 62_1104.jpeg,KA_7
347_1_ADN Lille 33H 62_1105.jpeg,KA_7
348_2_ADN Lille_33H62_1106.jpeg,KA_8
348_3_ADN Lille_33H62_1106.jpeg,KA_8
354_1_ADN Lille_36H283_4482 (Groot).JPG,KA_8
357_1_ADN Lille_38H48_254 (Groot).JPG,KA_9
358_2_ADN Lille_38H68_330.jpeg,KA_8
359_1_ADN Lille_38H71_342 (Groot).JPG,KA_9
368_2_ADN Lille_51H 4_24.jpeg,KA_8
372_1_ADN Lille_51H4_23 (Groot).JPG,KA_8
374_1_ADN Lille_51H26_154 (Groot).JPG,KA_8
374_2_ADN Lille_51H26_154 (Groot).JPG,KA_8
376_2_ADN Lille_59H 5_42.jpeg,KA_8
376_3_ADN Lille_59H 5_42.jpeg,KA_8
379_1_ADN Lille_59H 5_45 (Groot).JPG,KA_8
379_2_ADN Lille_59H5_45 (Groot).JPG,KA_8
380_2_ADN Lille_59H 5_46.jpeg,KA_8
380_4_ADN Lille_59H 5_46.jpeg,KA_8
384_3_ADN Lille_59H71_309 (Groot).JPG,KA_8
38_1_SAGent_94_66 (Groot).JPG,KA_9
3_1_ADNLille_B 444_825 (DiBe 22716).JPG,KA_6
