relative_path,filename,folder,hand_id,doc_id,scan_index,scan_explicit,repository,shelfmark,note,main_document,reason,parse_ok,collision_key
hand/KA_1/12_2_RAGent_K72_14 (Groot).jpeg,12_2_RAGent_K72_14 (Groot).jpeg,hand/KA_1,KA_1,12,2,1,RA Gent,K72_14,Groot,1,,1,ra gent|k72 14
hand/KA_1/134_2_RAGent K21_98.jpeg,134_2_RAGent K21_98.jpeg,hand/KA_1,KA_1,134,2,1,RA Gent,K21_98,,1,,1,ra gent|k21 98
hand/KA_1/134_3_RAGent K21_98.jpeg,134_3_RAGent K21_98.jpeg,hand/KA_1,KA_1,134,3,1,RA Gent,K21_98,,0,sibling_scan_of=134_2_RAGent K21_98.jpeg,1,ra gent|k21 98
hand/KA_1/135_2_RAGent K21_107.jpeg,135_2_RAGent K21_107.jpeg,hand/KA_1,KA_1,135,2,1,RA Gent,K21_107,,1,,1,ra gent|k21 107
hand/KA_1/136_2_RAGent K21_122.jpeg,136_2_RAGent K21_122.jpeg,hand/KA_1,KA_1,136,2,1,RA Gent,K21_122,,1,,1,ra gent|k21 122
hand/KA_1/579_2_RAGent K21_124.jpeg,579_2_RAGent K21_124.jpeg,hand/KA_1,KA_1,579,2,1,RA Gent,K21_124,,1,,1,ra gent|k21 124
hand/KA_1/581_2_RAGent K21_108.jpeg,581_2_RAGent K21_108.jpeg,hand/KA_1,KA_1,581,2,1,RA Gent,K21_108,,1,,1,ra gent|k21 108
hand/KA_1/581_3_RAGent K21_108.jpeg,581_3_RAGent K21_108.jpeg,hand/KA_1,KA_1,581,3,1,RA Gent,K21_108,,0,sibling_scan_of=581_2_RAGent K21_108.jpeg,1,ra gent|k21 108
hand/KA_1/615_2_RAGent K78_296.jpeg,615_2_RAGent K78_296.jpeg,hand/KA_1,KA_1,615,2,1,RA Gent,K78_296,,1,,1,ra gent|k78 296
hand/KA_1/615_3_RAGent K78_296.jpeg,615_3_RAGent K78_296.jpeg,hand/KA_1,KA_1,615,3,1,RA Gent,K78_296,,0,sibling_scan_of=615_2_RAGent K78_296.jpeg,1,ra gent|k78 296
