relative_path,filename,main_document,fell_back,n_regions,x0,y0,x1,y1,width,height
hand/KA_1/12_2_RAGent_K72_14 (Groot).jpeg,12_2_RAGent_K72_14 (Groot).jpeg,1,0,2,183,105,3871,2385,4032,3024
hand/KA_1/134_2_RAGent K21_98.jpeg,134_2_RAGent K21_98.jpeg,1,0,1,792,208,3506,2764,4032,3024
hand/KA_1/135_2_RAGent K21_107.jpeg,135_2_RAGent K21_107.jpeg,1,0,8,228,235,3918,2519,4032,3024
hand/KA_1/136_2_RAGent K21_122.jpeg,136_2_RAGent K21_122.jpeg,1,0,2,0,174,3981,1427,4032,3024
hand/KA_1/579_2_RAGent K21_124.jpeg,579_2_RAGent K21_124.jpeg,1,0,2,107,208,3990,1530,4032,3024
hand/KA_1/581_2_RAGent K21_108.jpeg,581_2_RAGent K21_108.jpeg,1,0,1,736,42,3828,2914,4032,3024
hand/KA_1/615_2_RAGent K78_296.jpeg,615_2_RAGent K78_296.jpeg,1,0,2,551,0,3895,2948,4032,3024
hand/KA_1/643_2_ADN Lille 16G 269_2398.jpeg,643_2_ADN Lille 16G 269_2398.jpeg,1,0,2,134,73,4030,2383,4032,3024
hand/KA_10/105_3_RAGent_K16_40 (Groot).JPG,105_3_RAGent_K16_40 (Groot).JPG,1,0,1,62,121,1413,546,1440,1080
hand/KA_10/108_2_RAGent_K6_7.jpeg,108_2_RAGent_K6_7.jpeg,1,0,3,13,981,3929,1900,4032,3024
hand/KA_10/129_2_RAGent_K78_409.jpeg,129_2_RAGent_K78_409.jpeg,1,0,2,100,228,3969,2135,4032,3024
hand/KA_10/141_2_RAGent K72_29.jpeg,141_2_RAGent K72_29.jpeg,1,0,10,85,141,3973,2377,4032,3024
hand/KA_10/161_2_ADN Lille B 400_1643.jpeg,161_2_ADN Lille B 400_1643.jpeg,1,0,20,282,228,3902,3022,4032,3024
hand/KA_10/166_2_ADNLille_B 496_1298 .jpeg,166_2_ADNLille_B 496_1298 .jpeg,1,0,1,40,94,3865,1655,4032,3024
hand/KA_10/30_2_RABrugge_INV 120_7435 .jpeg,30_2_RABrugge_INV 120_7435 .jpeg,1,0,1,376,174,3949,2847,4032,3024
hand/KA_10/320_2_ADN Lille_31H82_1483 (Groot).JPG,320_2_ADN Lille_31H82_1483 (Groot).JPG,1,0,5,76,76,1367,500,1440,1080
hand/KA_10/342_1_ADN Lille_33H56_997 (Groot).JPG,342_1_ADN Lille_33H56_997 (Groot).JPG,1,0,7,51,123,1379,769,1440,1080
hand/KA_10/42_1_SAGent_94_74.jpg,42_1_SAGent_94_74.jpg,1,0,4,455,255,4245,1692,5037,4799
hand/KA_10/458_2_RAGent_K16_39.jpeg,458_2_RAGent_K16_39.jpeg,1,0,3,121,316,3960,1681,4032,3024
hand/KA_10/521_1_ADN Lille_B 1373_973.JPG,521_1_ADN Lille_B 1373_973.JPG,1,0,16,1263,403,3652,981,4084,2931
hand/KA_10/551_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1056.jpeg,551_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1056.jpeg,1,0,6,121,819,3951,2155,4032,3024
hand/KA_10/571_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1010.jpeg,571_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1010.jpeg,1,0,3,114,120,3835,2525,4032,3024
hand/KA_10/572_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_983.jpeg,572_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_983.jpeg,1,0,2,94,248,3862,2215,4032,3024
